target,source,flow
03F0961N,03F0447N,187
03F3743N,01F3083N,9
03F1992N,03F0150N,1
03F2336N,03F0447N,8
03F1257S,03F1633S,10
03F3854N,01F1123N,2
03F1128S,03F2614S,3
01F0264S,03F0525S,12
03F0338N,03F0201N,66
01F3590N,01F0061N,2
03F1051S,01F3252S,5
01F0099S,01F0099S,311
03F1739N,01H0271N,7
01F1960S,01F2089S,12
01F1572N,03F0648N,2
01F0413N,03F0116S,7
01F3019N,01F0339N,3
01F0509S,03F4263S,1
03F0136S,01F3252S,1
03F0846N,03F0846N,915
05F0001N,01H0447S,1
01F2156S,01F2394S,42
03F2747S,03F3496S,6
01F2322S,01F3185S,14
03F0525S,01F1839S,3
01F0413N,01F0233N,158
01F0293S,01F2930S,1
03F1860S,03F2079S,164
01F1045S,01F1292S,6
03F3101S,01F3686S,10
01F3126N,01F3126N,222
03F3392N,03F2306N,4
03F2261S,03F2614S,33
03F1739N,03F1128N,36
01F3185N,03F0338N,7
03F2747S,01F3227S,3
03F1215N,01H0200N,2
01F0979N,01F0584N,2
01H0579S,03F1633S,8
01F0880S,03F1779S,20
01F3736N,01F3696N,52
01F0557S,03F0996N,1
01F3126S,01F3736S,2
03F2336N,03F2415S,1
01F0099S,01H0206S,5
01F2827N,03F2100S,1
01F3366S,01F3590S,656
03F2100S,01F3252S,2
03F0217S,01F0376S,2
03F0447S,03F2129S,24
03F2840S,01F3366S,1
03F2923N,03F2336S,1
01F1802S,03F2447S,1
01F1621S,01F1906S,1
03F4142S,01F3590N,9
03F1022N,01H0200N,13
03F0116N,01F0147S,4
01F0750S,01F1123S,19
01F0182S,03F0447S,12
03F1779S,01F3460S,1
03F0087S,01F0557S,3
01F3252N,03F2923N,8
01F2011S,01F2603S,58
01F0532S,03F1710S,1
03F0087S,01F1774S,1
01F1960N,01F0557S,1
05F0309N,05F0055N,215
03F1332S,01F3019S,1
01F3252N,03F0961N,1
01F0928S,01F1839S,13
05F0438N,01F0376N,1
03F0140N,01F0061N,137
03F2066S,03F2235S,470
01F0578S,01F3252S,2
03F2129S,01F3019S,5
03F4021N,03F2614N,2
03F1739S,03F3854S,1
01F3083N,03F0338N,2
01F3126N,03F2125N,5
03F1051N,03F0021N,2
01F3252N,03F2336N,1
01F1725N,01H0200N,45
01F0980S,03F2066S,7
01F0584N,01F0099N,1
01F2603N,03F2777S,2
01F0147N,01F0029N,3
03F3445N,03F1779N,1
01F3640N,01F3286N,761
01H0271N,05F0000S,11
03F4168N,03F3743N,8
03F2777N,03F2066N,19
01F2425N,01F0979N,6
01F3525N,01F0557N,1
03F3392N,01F2603N,1
03F0116N,01F0061S,2
03F2336N,03F2336S,10
01F2514N,03F1128N,2
01F1725S,01F3252S,7
03F0525S,03F3743S,1
03F0559S,01F1389S,2
03F0394S,03F0783S,77
01F1621N,01F0509N,21
01F1572N,05F0439S,2
01F1621S,03F2152S,2
01F0155S,01F1960S,2
03F2235S,03F2923S,9
01F3286S,01F1774N,1
01F1725N,01F0532N,45
03F2194S,03F2260N,2
01F3460N,03F3101N,3
03F1257N,03F0698N,13
05F0309N,01F1572S,1
01F2514N,01H0271N,7
01F0293S,01F1292S,7
01F3460S,01F3525S,289
01F0005S,05F0287S,33
03F4142S,03F1941N,1
01F0950S,03A0041N,1
01F1725N,03F1485N,40
01F1465N,03F0648N,11
03F4168N,03F1128N,1
01F3640N,03A0015N,2
03F3307S,03F3307S,181
01F2603N,03F1941N,7
01F0248S,03F0996N,1
03F3743N,03F2985N,83
03F2840N,01F2674N,1
01F0182S,01F3019S,1
01F0005S,01F0578S,2
03F4018S,01F3590N,2
01F1621N,01F0155N,1
03F0961N,01F0880S,1
03F2709S,03F3101S,11
01F0928S,01F2011S,23
01F2425S,01F2425S,605
03F3101N,01F2156N,2
01F1292S,01F1389S,17
01F1664S,03F2535S,1
03F1022N,01F0532N,8
01F3559N,01F2674N,1
01F3590N,03F2447N,1
01F3126S,01F3286S,171
03F0996S,01F3366S,1
01F3083N,03F1941N,1
03F3307S,03F3445S,104
03F0648N,01F0557S,13
03F1710S,03F1991S,68
05F0287N,01H0447S,12
01F0578S,01F1045S,51
